step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,14.998544401196575,0,0.0,0.95658862704708,0,0.0
10.0,0,0.0,0.0,13.03330571845178,0,0.0,0.8978321805180237,0,0.0
15.0,1,1.0,0.1,12.37022345959839,1,1.0,0.8660836764641091,1,1.0
20.0,2,7.0,0.5833333333333334,7.7844158571348,2,7.0,0.5151370338429325,2,7.0
25.0,0,0.0,0.0,6.199405626443318,0,6.0,0.39816207717667645,0,6.0
30.0,1,5.0,0.2777777777777778,10.06578847927964,1,5.0,0.6308860670368474,1,5.0
35.0,1,10.0,0.47619047619047616,12.15172383374064,1,10.0,0.7868189557757114,1,10.0
40.0,0,0.0,0.0,11.545298923793553,0,0.0,0.8216212794841137,0,0.0
45.0,3,10.0,0.45454545454545453,9.950075273844115,3,10.0,0.6773216589567128,3,10.0
50.0,6,36.0,1.6363636363636365,7.947336240971404,6,36.0,0.43923264025480085,6,36.0
55.0,11,79.0,3.4347826086956523,5.882053659628392,11,79.0,0.27393409146715586,11,79.0
60.0,13,140.0,5.833333333333333,5.277165619167614,13,140.0,0.2685786419362271,13,140.0
65.0,15,212.0,8.833333333333334,3.696940733974717,15,212.0,0.16846151162040227,15,212.0
70.0,18,296.0,11.384615384615385,3.792258054581276,18,296.0,0.21161366878717272,18,296.0
75.0,20,389.0,12.548387096774194,3.8096342351488977,20,389.0,0.2182083480880165,20,389.0
80.0,24,499.0,14.676470588235293,2.8340139358041134,24,499.0,0.12448886451432417,24,499.0
85.0,29,631.0,17.52777777777778,2.239204494871341,29,631.0,0.08411170039804285,29,631.0
90.0,31,781.0,20.55263157894737,2.136682369496883,31,781.0,0.08148329138528143,31,781.0
95.0,33,942.0,24.153846153846153,1.3761771937964624,33,942.0,0.05115053112527559,33,942.0
100.0,37,1115.0,27.875,0.6738068846176164,37,1116.0,0.023810381212673655,37,1116.0
105.0,38,1305.0,32.625,0.6697756457641637,38,1306.0,0.024377978467561647,38,1306.0
110.0,32,1099.0,25.558139534883722,2.1077927432378076,32,1351.0,0.113208177762308,32,1351.0
115.0,22,673.0,16.023809523809526,3.64312626716411,22,1230.0,0.16059314945584158,22,1230.0
120.0,14,380.0,8.837209302325581,5.2323088316800055,14,970.0,0.1604630058168103,14,970.0
125.0,7,135.0,3.375,5.298537538698085,7,1012.0,0.23473546155431946,7,1012.0
130.0,9,32.0,0.9142857142857143,5.117916591119017,9,1044.0,0.2380214698343163,9,1044.0
135.0,15,95.0,2.638888888888889,3.4944071125147445,15,1107.0,0.1500521672218246,15,1107.0
140.0,21,188.0,4.82051282051282,2.5267785188120286,21,1200.0,0.1416154090885313,21,1200.0
145.0,29,319.0,7.4186046511627906,2.334331328127256,29,1331.0,0.12880312189744536,29,1331.0
150.0,35,481.0,11.186046511627907,1.6834680196059786,35,1495.0,0.07297146185991991,35,1495.0
155.0,38,668.0,15.534883720930232,1.620668835172023,38,1682.0,0.02348468693425385,38,1682.0
160.0,33,652.0,15.162790697674419,1.7524652854931235,33,1689.0,0.06432162836463057,33,1689.0
165.0,23,480.0,11.707317073170731,3.3029061534898254,23,1498.0,0.12480743448918018,23,1498.0
170.0,15,343.0,8.365853658536585,5.332688097575954,15,1152.0,0.1545433286553911,15,1152.0
175.0,5,101.0,2.6578947368421053,5.605093369340399,5,1182.0,0.2403131726621405,5,1182.0
180.0,8,29.0,0.8529411764705882,5.0253731767521295,8,1213.0,0.25034160239255143,8,1213.0
185.0,15,87.0,2.4166666666666665,3.558996460391443,15,1272.0,0.18061362696989403,15,1272.0
190.0,21,179.0,4.837837837837838,1.8180932718691594,21,1364.0,0.08426791763495348,21,1364.0
195.0,26,298.0,7.842105263157895,0.8522787861523461,26,1486.0,0.012883534718608553,26,1486.0
200.0,34,456.0,11.4,0.6945074411636551,34,1645.0,0.0015569002394186897,34,1645.0
205.0,38,643.0,16.487179487179485,0.2800165565490243,38,1832.0,0.02571561902963049,38,1832.0
210.0,32,627.0,16.076923076923077,0.7754668255212998,32,1808.0,0.041789834871898655,32,1808.0
215.0,22,456.0,11.692307692307692,3.251858466224664,22,1546.0,0.11809896016900434,22,1546.0
220.0,14,319.0,8.179487179487179,5.726663530312456,14,1097.0,0.1900967057149574,14,1097.0
225.0,4,98.0,2.6486486486486487,6.389380637358233,4,965.0,0.30774940913063836,4,965.0
230.0,6,17.0,0.5151515151515151,6.076801025776533,6,987.0,0.3354104239832049,6,987.0
235.0,10,61.0,1.7941176470588236,4.101193685845352,10,1031.0,0.23361165059113995,10,1031.0
240.0,17,135.0,3.5526315789473686,3.219830651432483,17,1105.0,0.1655913726018242,17,1105.0
245.0,24,244.0,6.1,1.5907101411670883,24,1214.0,0.07154777230753508,24,1214.0
250.0,32,388.0,9.7,1.0249019299372617,32,1358.0,0.004087780301516974,32,1358.0
255.0,32,397.0,9.452380952380953,1.7621526234724254,32,1354.0,0.06561230448084625,32,1354.0
260.0,22,299.0,7.2926829268292686,3.5349201313136045,22,1160.0,0.1325679209228164,22,1160.0
265.0,13,200.0,4.761904761904762,5.369767518170639,13,783.0,0.20871240793359394,13,783.0
270.0,6,74.0,1.8974358974358974,7.078686893422698,6,592.0,0.32569704834151914,6,592.0
275.0,2,2.0,0.05555555555555555,7.548765223604063,2,540.0,0.4356652084728667,2,540.0
280.0,7,22.0,0.5789473684210527,7.268903477328531,7,560.0,0.4017025178237508,7,560.0
285.0,12,74.0,1.9473684210526316,5.085899235011339,12,612.0,0.2517013485753765,12,612.0
290.0,20,158.0,3.8536585365853657,3.4797132426436526,20,696.0,0.15228287992168915,20,696.0
295.0,20,165.0,3.9285714285714284,2.3452251096556953,20,674.0,0.08739823139730864,20,674.0
300.0,18,117.0,2.659090909090909,3.3766510078327348,18,519.0,0.14481045946173093,18,519.0
305.0,15,95.0,2.111111111111111,5.55406476355058,15,431.0,0.23855289063379292,15,431.0
310.0,8,55.0,1.3414634146341464,4.897486797735096,8,434.0,0.2228558748732449,8,434.0
315.0,8,29.0,0.725,5.611367629962395,8,467.0,0.2506021623565464,8,467.0
320.0,13,84.0,2.1,4.736383004803073,13,522.0,0.2294249146563415,13,522.0
325.0,14,81.0,1.975609756097561,3.560920321240471,14,503.0,0.1925700108229983,14,503.0
330.0,13,57.0,1.3571428571428572,3.77462473409518,13,396.0,0.1644410978027772,13,396.0
335.0,12,51.0,1.0625,5.918173266460532,12,292.0,0.25482334901942266,12,292.0
340.0,6,20.0,0.43478260869565216,5.812965032599828,6,326.0,0.3012968502724564,6,326.0
345.0,8,31.0,0.7380952380952381,5.749504155127926,8,341.0,0.3086685692228335,8,341.0
350.0,14,87.0,1.9772727272727273,5.271333261059834,14,398.0,0.21424478385865023,14,398.0
355.0,20,173.0,3.8444444444444446,3.4900167723562556,20,484.0,0.09933935003792882,20,484.0
360.0,20,176.0,4.0,2.9735046329582313,20,515.0,0.11176275088506755,20,515.0
365.0,19,125.0,2.7777777777777777,4.242918293890823,19,470.0,0.18863680270114455,19,470.0
370.0,14,103.0,2.2888888888888888,5.644380747007362,14,356.0,0.24493524478077677,14,356.0
375.0,6,37.0,0.8809523809523809,5.203176725336211,6,399.0,0.24315894828830634,6,399.0
380.0,7,28.0,0.7368421052631579,5.479962584825522,7,429.0,0.2369085056503438,7,429.0
385.0,14,87.0,2.3513513513513513,4.075035498402761,14,488.0,0.16491668331349166,14,488.0
390.0,20,176.0,4.631578947368421,2.2399346499245807,20,577.0,0.06999816282779,20,577.0
395.0,21,182.0,4.666666666666667,1.7381252893363315,21,590.0,0.08565050592468218,21,590.0
400.0,18,126.0,3.15,3.3182701349097457,18,543.0,0.1264037451083474,18,543.0
405.0,14,104.0,2.4761904761904763,5.673175988966214,14,425.0,0.2252080004569906,14,425.0
410.0,8,62.0,1.55,6.971654171308001,8,361.0,0.3256339244620473,8,361.0
415.0,2,3.0,0.08571428571428572,7.260913561402933,2,317.0,0.3915200979281238,2,317.0
420.0,6,22.0,0.6285714285714286,6.550902056792233,6,336.0,0.31585889430109754,6,336.0
425.0,12,74.0,2.1142857142857143,4.802511557283459,12,388.0,0.21660426247196252,12,388.0
430.0,19,155.0,4.305555555555555,2.6625670526685234,19,469.0,0.14225292443543916,19,469.0
435.0,26,271.0,6.775,1.6202463734555135,26,585.0,0.09580242895315212,26,585.0
440.0,32,414.0,9.857142857142858,1.3536362205201868,32,730.0,0.05241032045863271,32,730.0
445.0,32,420.0,10.0,1.552230343091094,32,793.0,0.04872379044085799,32,793.0
450.0,23,316.0,7.348837209302325,3.6577384183381683,23,734.0,0.13635679681121193,23,734.0
455.0,16,235.0,5.340909090909091,5.876802383912159,16,591.0,0.2305032344813049,16,591.0
460.0,7,94.0,2.292682926829268,6.935099307835898,7,474.0,0.3173204100523685,7,474.0
465.0,1,1.0,0.02631578947368421,7.2884787335379295,1,429.0,0.3932633237669935,1,429.0
470.0,7,21.0,0.5833333333333334,6.543798010999459,7,443.0,0.3065708226128336,7,443.0
475.0,13,73.0,2.085714285714286,4.445842133723678,13,495.0,0.1333351813377045,13,495.0
480.0,13,77.0,2.026315789473684,4.047994272752941,13,477.0,0.2081091635663812,13,477.0
485.0,10,49.0,1.225,4.747912981142031,10,402.0,0.25287125748092204,10,402.0
490.0,8,27.0,0.6,6.347223457222038,8,271.0,0.3023171005326255,8,271.0
495.0,8,22.0,0.4888888888888889,6.012134389507529,8,314.0,0.3325515092266243,8,314.0
500.0,8,32.0,0.7804878048780488,6.109795610119011,8,347.0,0.2944990835840365,8,347.0
505.0,13,87.0,2.1219512195121952,4.5991711339174906,13,402.0,0.14006793255343028,13,402.0
510.0,13,83.0,2.075,3.1706241141629508,13,393.0,0.08512468160573758,13,393.0
515.0,10,43.0,1.162162162162162,3.410256534593069,10,290.0,0.10634540070961761,10,290.0
