step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,12.961344811312706,0,0.0,0.9190109200675931,0,0.0
10.0,0,0.0,0.0,11.870407288046271,0,0.0,0.9536976772906203,0,0.0
15.0,0,0.0,0.0,11.39827201060639,0,0.0,0.854801660620477,0,0.0
20.0,1,4.0,0.26666666666666666,10.21567831578766,1,4.0,0.7620578918818887,1,4.0
25.0,5,19.0,1.1875,6.769686624074958,5,19.0,0.47445569002754256,5,19.0
30.0,8,50.0,2.7777777777777777,5.996857912084157,8,50.0,0.36135308408240707,8,50.0
35.0,10,98.0,5.157894736842105,5.208112766303359,10,98.0,0.2573577817025359,10,98.0
40.0,11,153.0,7.65,4.7591442042528005,11,153.0,0.26348288877753434,11,153.0
45.0,13,215.0,9.772727272727273,4.9618599143467454,13,215.0,0.29187505821137394,13,215.0
50.0,14,283.0,10.481481481481481,5.244379423762704,14,283.0,0.30460881261063494,14,283.0
55.0,16,359.0,11.966666666666667,4.672463668280881,16,359.0,0.29089915565676205,16,359.0
60.0,20,449.0,12.82857142857143,4.146554279634621,20,449.0,0.23624037403977746,20,449.0
65.0,25,563.0,15.216216216216216,3.206900701123279,25,563.0,0.14165995967142136,25,563.0
70.0,29,699.0,17.048780487804876,2.5628510760556136,29,699.0,0.12917975367121648,29,699.0
75.0,33,856.0,20.878048780487806,1.7697744583872983,33,856.0,0.055080353863351604,33,856.0
80.0,37,1030.0,22.88888888888889,1.944973238904223,37,1030.0,0.11073667286827736,37,1030.0
85.0,38,1219.0,27.08888888888889,1.927231660621364,38,1219.0,0.09052741815451186,38,1219.0
90.0,33,1005.0,22.84090909090909,1.4481778875095193,33,1263.0,0.0459603920884552,33,1263.0
95.0,25,616.0,14.325581395348838,2.867878433197184,25,1149.0,0.08475318251537378,25,1149.0
100.0,17,418.0,9.5,5.090164456230868,17,896.0,0.16570285653789715,17,896.0
105.0,6,105.0,2.441860465116279,5.830157500497901,6,922.0,0.29065403814236507,6,922.0
110.0,8,31.0,0.775,6.050753846276622,8,940.0,0.2760191308449142,8,940.0
115.0,14,89.0,2.225,4.827691853519086,14,999.0,0.20826336847694304,14,999.0
120.0,20,178.0,4.45,3.01258827801554,20,1088.0,0.10644296385860405,20,1088.0
125.0,26,298.0,7.45,1.7704785353367771,26,1208.0,0.05526280286559752,26,1208.0
130.0,35,452.0,11.024390243902438,1.029921901685284,35,1363.0,0.04954539142772996,35,1363.0
135.0,38,630.0,15.75,0.637745371122248,38,1544.0,0.02491919488090366,38,1544.0
140.0,38,820.0,20.0,0.9712875631531213,38,1734.0,0.02564279938203722,38,1734.0
145.0,32,772.0,18.38095238095238,1.7176390573191473,32,1740.0,0.0665294312705241,32,1740.0
150.0,23,586.0,14.65,3.3623215159180715,23,1559.0,0.12238925344671768,23,1559.0
155.0,14,346.0,8.439024390243903,5.765658659797329,14,1212.0,0.2041675737073503,14,1212.0
160.0,6,112.0,3.027027027027027,5.158976158526859,6,1250.0,0.23526223665305526,6,1250.0
