step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,13.896579685241823,0,0.0,0.9983493422103036,0,0.0
10.0,0,0.0,0.0,13.692259334685156,0,0.0,0.9739315438312733,0,0.0
15.0,0,0.0,0.0,13.476947327056521,0,0.0,0.944255419310426,0,0.0
20.0,0,0.0,0.0,13.394892506357522,0,0.0,0.939590069345221,0,0.0
25.0,0,0.0,0.0,13.21019512570019,0,0.0,0.9298784009088399,0,0.0
30.0,1,2.0,0.14285714285714285,11.928142245788708,1,2.0,0.8316478916554523,1,2.0
35.0,1,7.0,0.5,11.443936640324884,1,7.0,0.8105219299818364,1,7.0
40.0,1,2.0,0.11764705882352941,9.988087913123048,1,2.0,0.7066306495945657,1,2.0
45.0,6,18.0,1.0,6.776705918380745,6,18.0,0.42604836719549083,6,18.0
50.0,10,60.0,3.0,4.902039463162771,10,60.0,0.3351092019522082,10,60.0
55.0,8,44.0,1.9130434782608696,5.284668374439666,8,85.0,0.36298159669904734,8,85.0
60.0,2,5.0,0.18518518518518517,7.414898844849607,2,56.0,0.4393708957438731,2,56.0
65.0,2,11.0,0.3333333333333333,8.945142791900613,2,28.0,0.5256263046500198,2,28.0
70.0,3,25.0,0.8064516129032258,8.621594931286333,3,28.0,0.47253010436366566,3,28.0
75.0,4,41.0,1.3666666666666667,9.500141476727373,4,41.0,0.5872765919766936,4,41.0
80.0,4,61.0,2.1785714285714284,9.690664681805057,4,61.0,0.627291520357218,4,61.0
85.0,2,3.0,0.10344827586206896,8.153811041536446,2,29.0,0.543437433307263,2,29.0
90.0,6,24.0,0.8571428571428571,7.161393741230596,6,24.0,0.39249875534350714,6,24.0
95.0,13,80.0,2.857142857142857,4.996680186347139,13,80.0,0.28337298717662834,13,80.0
100.0,12,74.0,2.642857142857143,3.5483414780494624,12,119.0,0.19584023193072778,12,119.0
105.0,7,30.0,1.0,5.355336929733558,7,121.0,0.24706473817517022,7,121.0
110.0,4,10.0,0.29411764705882354,7.693186697868904,4,88.0,0.3910174844280398,4,88.0
115.0,2,9.0,0.25,7.368090871967894,2,65.0,0.38030023838786975,2,65.0
120.0,2,19.0,0.5757575757575758,8.089776575033708,2,36.0,0.42292720447447607,2,36.0
125.0,2,29.0,0.9666666666666667,9.486613208345775,2,29.0,0.6062843827986459,2,29.0
130.0,2,39.0,1.2580645161290323,9.572426043014936,2,39.0,0.6376075746740648,2,39.0
135.0,2,49.0,1.6896551724137931,10.10436796597067,2,49.0,0.6582517982494718,2,49.0
140.0,2,3.0,0.10714285714285714,8.50098450058238,2,3.0,0.53404663597057,2,3.0
145.0,7,27.0,0.9642857142857143,6.696692049179446,7,27.0,0.39566798071657666,7,27.0
150.0,12,77.0,2.6551724137931036,5.1273563234488115,12,77.0,0.3081108686022204,12,77.0
155.0,11,67.0,2.392857142857143,2.953498174551291,11,114.0,0.20448372501279874,11,114.0
160.0,9,34.0,1.0625,5.27480419035641,9,119.0,0.2789741740597035,9,119.0
165.0,7,24.0,0.7272727272727273,6.2611326669081935,7,97.0,0.23122310983554886,7,97.0
170.0,3,29.0,0.90625,8.52432171519115,3,87.0,0.5095116482832343,3,87.0
175.0,3,44.0,1.4666666666666666,9.45861017503599,3,68.0,0.6146909366704313,3,68.0
180.0,3,59.0,1.903225806451613,9.094915270431274,3,64.0,0.5941789730751723,3,64.0
185.0,5,79.0,2.925925925925926,7.803223587618173,5,79.0,0.43356814351659906,5,79.0
190.0,5,104.0,4.0,8.19378497523988,5,104.0,0.4509459323519575,5,104.0
195.0,5,129.0,5.375,8.523430491505636,5,129.0,0.4821375325585905,5,129.0
200.0,5,154.0,7.0,9.435153817844236,5,154.0,0.5215746074433918,5,154.0
205.0,2,4.0,0.2,8.483732297476667,2,86.0,0.5068488595362168,2,86.0
210.0,2,14.0,0.7368421052631579,9.590502940909838,2,14.0,0.5405769510877989,2,14.0
215.0,6,34.0,1.7,8.22579461575231,6,34.0,0.3774735599944886,6,34.0
220.0,3,12.0,0.631578947368421,6.983640282467379,3,34.0,0.3857488424016188,3,34.0
225.0,0,0.0,0.0,9.362845509203309,0,12.0,0.5250136965802452,0,12.0
230.0,0,0.0,0.0,12.041410088567488,0,0.0,0.7594685458639644,0,0.0
235.0,1,1.0,0.045454545454545456,12.071468596809611,1,1.0,0.8168009196049215,1,1.0
240.0,1,2.0,0.1,9.782590094585135,1,2.0,0.5391153255163093,1,2.0
245.0,5,19.0,1.1875,7.048960425956723,5,19.0,0.29651750133964855,5,19.0
250.0,8,56.0,3.7333333333333334,4.551118449551684,8,56.0,0.2693705919067465,8,56.0
255.0,4,26.0,1.5294117647058822,5.046206400930478,4,68.0,0.3706665721337117,4,68.0
260.0,0,0.0,0.0,8.862807823941129,0,31.0,0.6059012360167076,0,31.0
265.0,0,0.0,0.0,10.372756643764564,0,1.0,0.638058326039894,0,1.0
270.0,1,1.0,0.04,10.767326093426437,1,1.0,0.7220867284967386,1,1.0
275.0,2,9.0,0.391304347826087,10.846660334985273,2,9.0,0.7531883071852935,2,9.0
280.0,0,0.0,0.0,9.30689697186275,0,0.0,0.5967316080067783,0,0.0
285.0,6,16.0,0.6956521739130435,7.581361515660331,6,16.0,0.4160735494468365,6,16.0
290.0,10,57.0,2.4782608695652173,5.587881679397571,10,57.0,0.32226696121885484,10,57.0
295.0,8,46.0,2.1904761904761907,3.0517572576610625,8,85.0,0.15443975413411254,8,85.0
300.0,3,6.0,0.2608695652173913,6.057655249393533,3,69.0,0.2518686273596227,3,69.0
305.0,1,4.0,0.16666666666666666,9.499660541296892,1,33.0,0.4774733934692911,1,33.0
310.0,3,5.0,0.20833333333333334,9.001915719519863,3,30.0,0.5095462549649906,3,30.0
315.0,6,26.0,1.2380952380952381,5.6861894070291115,6,51.0,0.2858015412200375,6,51.0
320.0,12,78.0,3.7142857142857144,2.806152765416957,12,103.0,0.161089396631927,12,103.0
325.0,11,70.0,2.8,4.359705177094675,11,131.0,0.3086444084711852,11,131.0
330.0,3,13.0,0.4642857142857143,6.019549758620317,3,104.0,0.3238902305959131,3,104.0
335.0,1,5.0,0.15625,8.078329488022863,1,54.0,0.3809322686145648,1,54.0
340.0,2,13.0,0.3939393939393939,8.387101511506113,2,28.0,0.43872535447331407,2,28.0
