step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,13.701171221112693,0,0.0,0.9663949578635415,0,0.0
10.0,0,0.0,0.0,13.24620585142778,0,0.0,0.9520970500211792,0,0.0
15.0,1,2.0,0.18181818181818182,10.461484750184432,1,2.0,0.7420811887059829,1,2.0
20.0,3,12.0,0.9230769230769231,8.342982792437947,3,12.0,0.5372589412378267,3,12.0
25.0,6,37.0,2.642857142857143,5.68307186482469,6,37.0,0.36786388530352065,6,37.0
30.0,9,78.0,4.333333333333333,6.5233537769871015,9,78.0,0.41471180117288337,9,78.0
35.0,9,123.0,6.473684210526316,6.179138440275319,9,123.0,0.34058365304397414,9,123.0
40.0,7,51.0,2.3181818181818183,5.457957616346177,7,123.0,0.3090513607983636,7,123.0
45.0,1,5.0,0.21739130434782608,7.596537953123152,1,66.0,0.4536350916716212,1,66.0
50.0,1,10.0,0.37037037037037035,10.153196180499268,1,16.0,0.6010408003590799,1,16.0
55.0,2,2.0,0.08,8.21245067095653,2,8.0,0.480910043533047,2,8.0
60.0,8,26.0,1.0833333333333333,7.764931992280874,8,32.0,0.4211165472284943,8,32.0
65.0,9,71.0,2.84,7.455424470491235,9,77.0,0.397873076525399,9,77.0
70.0,11,124.0,4.769230769230769,6.258294564301533,11,130.0,0.40109294030057724,11,130.0
75.0,15,192.0,6.857142857142857,5.041888905405476,15,198.0,0.26522540382101106,15,198.0
80.0,18,274.0,9.133333333333333,3.606763088123893,18,280.0,0.1618754200401053,18,280.0
85.0,23,382.0,12.32258064516129,2.929605569599145,23,388.0,0.10630942936402955,23,388.0
90.0,24,501.0,16.161290322580644,2.445803065188338,24,507.0,0.12802562569177361,24,507.0
95.0,26,627.0,19.59375,2.166560438917645,26,633.0,0.135988276733352,26,633.0
100.0,27,759.0,22.323529411764707,1.945490829158247,27,765.0,0.039598934189232056,27,765.0
105.0,29,903.0,23.763157894736842,1.798576711633975,29,909.0,0.06499065184210322,29,909.0
110.0,34,1063.0,27.256410256410255,0.6477001929521453,34,1069.0,0.027942038351702562,34,1069.0
115.0,38,1248.0,32.0,0.30538209239795233,38,1254.0,3.6696844257300316e-05,38,1254.0
120.0,38,1438.0,35.95,0.6644808160913186,38,1444.0,0.02564102564102564,38,1444.0
125.0,32,1214.0,31.128205128205128,0.9291466647084567,32,1480.0,0.04487621285126424,32,1480.0
130.0,22,748.0,19.17948717948718,3.0001162687095473,22,1344.0,0.1049485516013034,22,1344.0
135.0,15,429.0,10.725,5.631914394393316,15,1055.0,0.19934595676078923,15,1055.0
140.0,7,150.0,4.054054054054054,5.2899226704215865,7,1098.0,0.24295845478202432,7,1098.0
145.0,8,34.0,1.0303030303030303,4.8107479177695565,8,1134.0,0.24834163377088878,8,1134.0
150.0,14,91.0,2.6,3.3266916948697323,14,1191.0,0.18820559572873977,14,1191.0
155.0,15,89.0,2.4722222222222223,2.165117978633619,15,1127.0,0.13306494207747194,15,1127.0
160.0,12,56.0,1.3658536585365855,3.2706291543003174,12,935.0,0.14786002778527768,12,935.0
165.0,13,63.0,1.4318181818181819,4.776949398938424,13,634.0,0.1884456689660227,13,634.0
170.0,6,20.0,0.47619047619047616,5.163111302933656,6,657.0,0.24160615151897552,6,657.0
175.0,8,31.0,0.7948717948717948,5.917418769085351,8,679.0,0.28795775964823134,8,679.0
180.0,13,86.0,2.2051282051282053,4.288883898015106,13,734.0,0.193772953573482,13,734.0
185.0,14,83.0,2.128205128205128,2.0083097470688456,14,677.0,0.0915951306672979,14,677.0
190.0,14,60.0,1.5,2.912347501269516,14,527.0,0.10628590730312279,14,527.0
195.0,12,64.0,1.4883720930232558,5.173292162433849,12,303.0,0.1785952068896813,12,303.0
200.0,8,63.0,1.5,6.952783123173445,8,225.0,0.2874824704044156,8,225.0
205.0,1,1.0,0.02702702702702703,7.414459120592712,1,192.0,0.3741378444213407,1,192.0
210.0,8,26.0,0.7428571428571429,6.8265985974506895,8,199.0,0.32153107339893533,8,199.0
215.0,13,80.0,2.2857142857142856,4.43793403920265,13,253.0,0.1677797537683425,13,253.0
220.0,20,165.0,4.583333333333333,2.5724796612895213,20,338.0,0.11820604723618655,20,338.0
225.0,26,282.0,7.230769230769231,1.3281052542802512,26,455.0,0.07036025071745661,26,455.0
230.0,34,432.0,10.8,0.7478326488303092,34,605.0,0.028589121696052107,34,605.0
235.0,38,612.0,14.926829268292684,0.9754273822085558,38,786.0,0.025792470852268084,38,786.0
240.0,32,598.0,13.906976744186046,2.053239636592768,32,871.0,0.08980297792670006,32,871.0
245.0,22,434.0,10.585365853658537,3.47922008526058,22,823.0,0.1429899471128017,22,823.0
250.0,15,303.0,7.390243902439025,5.28526463187126,15,679.0,0.15475544377183204,15,679.0
255.0,8,122.0,3.2972972972972974,5.100827394023899,8,729.0,0.1876882793353422,8,729.0
260.0,8,32.0,0.9696969696969697,4.907125700782763,8,762.0,0.2249427022500148,8,762.0
265.0,15,90.0,2.5,3.6217524916031,15,820.0,0.2004977798685871,15,820.0
270.0,20,183.0,4.815789473684211,2.2941298198721833,20,913.0,0.1654168180477825,20,913.0
275.0,28,307.0,7.487804878048781,1.8587293939179836,28,1037.0,0.06580908508671061,28,1037.0
280.0,33,461.0,10.477272727272727,1.916382758187948,33,1192.0,0.0506893961830588,33,1192.0
285.0,38,647.0,14.704545454545455,1.7853044318189155,38,1378.0,0.07084587362034955,38,1378.0
290.0,38,837.0,19.46511627906977,1.464060050562106,38,1568.0,0.0703743665494461,38,1568.0
295.0,38,1027.0,23.88372093023256,1.4591432786522072,38,1758.0,0.047851319148826385,38,1758.0
300.0,33,948.0,22.571428571428573,1.452520830525817,33,1781.0,0.0641493451515248,33,1781.0
305.0,24,684.0,15.545454545454545,3.5716970657327236,24,1614.0,0.152663945075077,24,1614.0
310.0,16,474.0,10.772727272727273,5.476565771420877,16,1294.0,0.2270264611661718,16,1294.0
315.0,6,173.0,4.219512195121951,5.376150547273885,6,1256.0,0.24862821752887043,6,1256.0
320.0,6,19.0,0.5,5.755397388483892,6,1281.0,0.27386724517549427,6,1281.0
325.0,14,71.0,1.9189189189189189,4.823788276973483,14,1333.0,0.2307847253305049,14,1333.0
330.0,14,78.0,2.0526315789473686,3.48232986618923,14,1253.0,0.18286677129322895,14,1253.0
335.0,9,43.0,1.0238095238095237,4.276557121567395,9,1007.0,0.18586937773828896,9,1007.0
340.0,10,33.0,0.7333333333333333,5.56957400250166,10,623.0,0.2459309335965401,10,623.0
345.0,7,16.0,0.38095238095238093,5.509148061236611,7,650.0,0.27526925443859646,7,650.0
350.0,8,28.0,0.717948717948718,5.853192509767352,8,678.0,0.26418844417200377,8,678.0
355.0,14,83.0,2.075,4.656762025463133,14,733.0,0.20323389074459905,14,733.0
360.0,14,80.0,1.9047619047619047,3.3091820206468507,14,660.0,0.1431332528875724,14,660.0
365.0,10,47.0,1.175,3.5038404012221385,10,495.0,0.13602096699722954,10,495.0
